symbol	phenotype_score	fraction_of_max	n_terms_matched	matched_terms	in_disease_panel
FRG1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
FUS	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FXN	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
GAN	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
GBA2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
GBF1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
GDAP1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
GFPT1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
GIPC1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
GJB1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
GLDN	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
GLT8D1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
GMPPB	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
GNB4	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
GNE	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
GPR35	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
GYG1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
HARS1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
HINT1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
HMGCR	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
HNRNPDL	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
HSPB1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
HSPB3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
HSPB8	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
HYCC1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
IBA57	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
IFRD1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
INF2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ISCU	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
JAG2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
JPH1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
KBTBD13	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
KCNK9	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
KIF21A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
KIF5A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
KLC2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
KLHL9	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
KY	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
LAMB2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
LAMP2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
LDB3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
LIMS2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
LIPE	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
LITAF	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
LMNB2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
LRP12	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
LRP4	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
LRSAM1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
LTBP4	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
MAFB	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MAG	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MATR3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MB	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
MED25	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MFN2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MGME1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MINPP1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MLIP	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
MME	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MPZ	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MST1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
MT-TE	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MTAP	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MTMR14	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MTMR2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MYBPC1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MYH14	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MYO9A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
MYOT	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
MYPN	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NAGA	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NARS2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NDRG1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NDUFA12	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NDUFA9	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NDUFAF6	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NEFH	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NEFL	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NEMF	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NIPA1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NOP56	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NOTCH2NLC	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
NPPA	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NR3C1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
NT5C2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
NUP88	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
NUTM2B-AS1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
OPA1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
OPTN	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PDK3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PDXK	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
PFKM	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
PFN1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PHKA1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PHKG1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
PHYH	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PIK3R2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PIK3R5	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PIP5K1C	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PLEKHG5	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PLOD3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PLXND1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PMP2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PMP22	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
POGLUT1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
POMGNT1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
POMGNT2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
POMK	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
POMT1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
POMT2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PON1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
PON2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
PON3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
POPDC1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PPARGC1A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
PRPH	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PRUNE1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PRX	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PSMG2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
PTRHD1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PYGM	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
PYROXD1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
RAB7A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
REEP1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
RETREG1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
REV3L	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
RILPL1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
RNASEH1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
RNF170	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
RNF31	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
RRM1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
RTN2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
RXYLT1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SACS	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SBF1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SBF2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SCN5A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SCN9A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SCYL1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SCYL2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
SEMA4D	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
SETD5	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SETX	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SFXN4	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SGCA	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SGCB	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SGCD	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SGCG	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SIGMAR1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SLC12A6	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SLC18A3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
SLC25A1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SLC33A1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SLC52A2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SLC52A3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SLC5A6	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SLC5A7	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SMCHD1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SMN1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
SMN2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
SNAP25	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SOD1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SOX10	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SPAST	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SPEG	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SPG11	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SPTAN1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SPTBN4	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SPTLC1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SPTLC2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SQSTM1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
STUB1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SVBP	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
SYNE2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TAF15	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TARDBP	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TBCD	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TBCK	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TCAP	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TDP1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TFG	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TGFB2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TIA1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TIMM8A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TMEM43	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TMTC3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TNFRSF1B	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
TNNT1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TNR	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TNXB	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
TOE1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TOR1AIP1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TREM2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
TRIM2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
TTC19	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TTPA	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TUBA1A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TUBA4A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
TYMP	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
UBA1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
UBAP1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
UBQLN2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
UNC45B	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
USP48	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
USP8	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
VAMP1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
VAPB	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
VMA21	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
VMA22	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
VPS13A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
VPS13D	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
VWA1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
WNK1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ZFYVE26	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
AARS2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ABAT	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ABCD4	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ACAD9	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ACADS	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ACO2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ACOX1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ACSF3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ACSL5	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
ACVR1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ADA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ADAM17	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ADCY5	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
AGR2	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
AHCY	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
AKR1D1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ALAD	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ALDOB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ALG11	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ALG3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ALG6	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
AMACR	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
AMN	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
ANKRD55	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
ANO1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ARFGEF2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ARPC1B	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ASL	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ASS1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ASXL3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ATP5F1B	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
ATP6AP1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ATP7B	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ATP9A	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ATXN7	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
AUH	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
BCAP31	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
BCS1L	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
BLNK	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CA12	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
CACNA1E	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CAD	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CAMKMT	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
CARS2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CAVIN1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CBFB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CBS	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CCT3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CD247	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CD3D	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CD3E	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CD3G	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CD40LG	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CD79A	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CD79B	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CDKL5	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CEACAM3	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
CEACAM6	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
CFTR	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CHASERR	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CHRM3	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
CHRNA3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CIITA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CLCA4	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
CLCN3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
COA8	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
COG6	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
COL4A5	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
COL4A6	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
COX10	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
COX15	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
COX4I2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
COX5A	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
COX6B1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CPS1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CPSF3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CSF2RA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CSF2RB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CSNK2A1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CUBN	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
CUL3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CYC1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
CYP11B2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DCLRE1C	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DCTN4	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
DEGS1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DGAT1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DHRSX	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DLD	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DNASE2	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
DOCK11	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DOCK8	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DPAGT1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DPM1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DPM2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DPYD	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DPYS	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DSG1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
DSP	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
EARS2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
EDNRA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
EFEMP1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
EGFR	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
EIF5A	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ELAC2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ELMO2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
EN1	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
ERMARD	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ETHE1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
FASTKD2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
FCGR2A	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
FDFT1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
FLT3LG	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
FOCAD	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
FOXN1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
FOXP1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
FOXP3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
FOXRED1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
FTH1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
FTO	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
G6PC3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GAA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GALE	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GALM	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GALT	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GCDH	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GCLC	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
GFAP	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GJA5	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GJA8	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GJB2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GLUD1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GLYCTK	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GNAO1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GNB1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GNB2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GOLGA2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GPIHBP1	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
GPT2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
GSTM3	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
GTPBP3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
HACD1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
HADHB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
HFE	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
HIBCH	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
HIKESHI	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
HMOX1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
HNRNPK	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
HPD	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
