symbol	panel_tier	n_sources	sources	n_nominations	has_experimental_evidence	in_core_panel	n_specific_go_terms	specific_go_terms	go_terms	reactome_pathways	string_seeds	known_mva_gene	ensembl_gene_id	gnomad_transcript	gnomad_loeuf	gnomad_oe_lof	gnomad_pli	gnomad_mis_z	constraint_bin
NDC80	2	3	GO,Reactome,STRING	75	yes	yes	4	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0007098 (centrosome cycle); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0007098 (centrosome cycle); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1,BUB1B,BUB3	no	10403	NM_006101.3	0.876	0.655	0.000	2.27	moderate
NEK2	2	3	GO,Reactome,STRING	19	yes	yes	2	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)	BUB1,BUB1B,TRIP13	no	4751	NM_002497.4	0.648	0.450	0.040	2.18	moderate
NUF2	2	3	GO,Reactome,STRING	45	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1,BUB1B,BUB3,TRIP13	no	83540	NM_145697.3	0.989	0.583	0.012	0.70	moderate
NUP107	2	3	GO,Reactome,STRING	7	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB3	no	57122	NM_020401.4	0.833	0.644	0.000	1.46	moderate
NUP98	2	3	GO,Reactome,STRING	7	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB3	no	4928	NM_016320.5	0.155	0.103	1.000	2.20	highly_constrained
PDS5A	2	3	GO,Reactome,STRING	26	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)	R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase)	SMC5	no	23244	NM_001100399.2	0.520	0.327	0.960	2.70	constrained
PLK1	2	3	GO,Reactome,STRING	51	yes	yes	5	GO:0000776 (kinetochore); GO:0007062 (sister chromatid cohesion); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0007098 (centrosome cycle); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0007098 (centrosome cycle); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1,BUB1B,BUB3,CEP192,CEP57,TRIP13	no	5347	NM_005030.6	0.205	0.098	1.000	3.55	highly_constrained
PLK4	2	3	GO,Reactome,STRING	19	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)	BUB1,CEP192	no	10733	NM_014264.5	0.619	0.422	0.180	1.09	moderate
PPP1CC	2	3	GO,Reactome,STRING	8	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB3	no	5501	NM_002710.4	0.583	0.344	0.825	3.88	constrained
PPP2R5C	2	3	GO,Reactome,STRING	11	yes	yes	0		GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1B	no	ENSG00000078304	ENST00000334743	0.198	0.100	1.000	4.07	highly_constrained
