symbol	panel_tier	n_sources	sources	n_nominations	has_experimental_evidence	in_core_panel	n_specific_go_terms	specific_go_terms	go_terms	reactome_pathways	string_seeds	known_mva_gene	ensembl_gene_id	gnomad_transcript	gnomad_loeuf	gnomad_oe_lof	gnomad_pli	gnomad_mis_z	constraint_bin
ARID2	3	1	GO	4	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	196528	NM_152641.4	0.224	0.165	1.000	4.49	highly_constrained
ATM	3	1	GO	4	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	472	NM_000051.4	0.847	0.767	0.000	2.54	moderate
AURKC	3	1	GO	8	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	6795	NM_001015878.2	0.806	0.538	0.003	1.23	moderate
BOD1	3	1	GO	8	yes	yes	2	GO:0000776 (kinetochore); GO:0007062 (sister chromatid cohesion)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion)			no	91272	NM_138369.3	1.335	0.807	0.001	0.55	unconstrained
BRD7	3	1	GO	4	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	29117	NM_013263.5	0.336	0.215	1.000	1.26	highly_constrained
CHMP1A	3	1	GO	72	yes	yes	2	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	5119	NM_002768.5	1.045	0.697	0.000	-0.26	unconstrained
CHMP1B	3	1	GO	15	yes	yes	2	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	57132	NM_020412.5	0.869	0.413	0.304	0.61	moderate
CHMP2A	3	1	GO	66	yes	yes	2	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	27243	NM_014453.4	0.508	0.258	0.973	0.15	constrained
CHMP2B	3	1	GO	30	yes	yes	2	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	25978	NM_014043.4	1.503	0.892	0.000	-0.04	unconstrained
CHMP3	3	1	GO	26	yes	yes	2	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	51652	NM_016079.4	0.543	0.301	0.940	1.42	constrained
CHMP4B	3	1	GO	20	yes	yes	2	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	128866	NM_176812.5	0.208	0.044	1.000	2.90	highly_constrained
CHMP4C	3	1	GO	15	yes	yes	2	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	92421	NM_152284.4	1.393	0.959	0.000	-0.06	unconstrained
CHMP5	3	1	GO	45	yes	yes	2	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	51510	NM_016410.6	1.441	0.737	0.015	0.46	unconstrained
CTNNB1	3	1	GO	3	yes	yes	2	GO:0007062 (sister chromatid cohesion); GO:0007098 (centrosome cycle)	GO:0007062 (sister chromatid cohesion); GO:0007098 (centrosome cycle)			no	1499	NM_001904.4	0.139	0.070	1.000	5.72	highly_constrained
DYNLRB1	3	1	GO	4	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	83658	NM_014183.4	0.851	0.431	0.242	1.25	moderate
DYNLRB2	3	1	GO	4	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	83657	NM_130897.3	1.624	1.050	0.000	-0.68	unconstrained
DYNLT1	3	1	GO	4	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	6993	NM_006519.4	1.276	0.816	0.000	0.26	unconstrained
GEN1	3	1	GO	6	yes	yes	3	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0007098 (centrosome cycle); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0007098 (centrosome cycle); GO:0051983 (regulation of chromosome segregation)			no	348654	NM_001130009.3	1.422	0.979	0.000	0.04	unconstrained
HNRNPU	3	1	GO	6	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	3192	NM_031844.3	0.111	0.043	1.000	3.51	highly_constrained
IK	3	1	GO	4	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	3550	NM_006083.4	0.771	0.588	0.000	3.27	moderate
KAT2B	3	1	GO	8	yes	yes	2	GO:0007098 (centrosome cycle); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle); GO:0051983 (regulation of chromosome segregation)			no	8850	NM_003884.5	0.461	0.323	0.998	1.76	constrained
KAT5	3	1	GO	7	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	10524	NM_182710.3	0.594	0.440	0.027	3.75	constrained
KIF22	3	1	GO	6	yes	yes	2	GO:0000776 (kinetochore); GO:0007062 (sister chromatid cohesion)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion)			no	3835	NM_007317.3	1.025	0.825	0.000	0.59	unconstrained
KLHL22	3	1	GO	6	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	84861	NM_032775.4	0.471	0.314	0.996	3.36	constrained
LCMT1	3	1	GO	8	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	51451	NM_016309.3	0.956	0.638	0.000	0.58	moderate
PBRM1	3	1	GO	4	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	ENSG00000163939	ENST00000296302	0.230	0.152	1.000	4.42	highly_constrained
PHF10	3	1	GO	7	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	55274	NM_018288.4	0.930	0.595	0.002	1.37	moderate
PPP1R12A	3	1	GO	2	yes	yes	2	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)			no	4659	NM_002480.3	0.158	0.084	1.000	2.75	highly_constrained
PRAP1	3	1	GO	4	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	118471	NM_145202.5	1.401	0.911	0.000	1.04	unconstrained
PRP4K	3	1	GO	5	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
RB1	3	1	GO	6	yes	yes	2	GO:0007062 (sister chromatid cohesion); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion); GO:0051983 (regulation of chromosome segregation)			no	5925	NM_000321.3	0.239	0.158	1.000	2.32	highly_constrained
SMARCA4	3	1	GO	7	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	6597	NM_003072.5	0.226	0.168	1.000	8.81	highly_constrained
SMARCB1	3	1	GO	7	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	6598	NM_003073.5	0.221	0.105	1.000	4.86	highly_constrained
SMARCC1	3	1	GO	7	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	6599	NM_003074.4	0.369	0.246	1.000	2.00	constrained
SMARCC2	3	1	GO	7	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	6601	NM_001330288.2	0.167	0.103	1.000	4.83	highly_constrained
SMARCD1	3	1	GO	7	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	6602	NM_003076.5	0.339	0.217	1.000	3.27	highly_constrained
SMARCD2	3	1	GO	7	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	6603	NM_001098426.2	0.762	0.583	0.000	1.89	moderate
SMARCE1	3	1	GO	7	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	6605	NM_003079.5	0.318	0.151	1.000	2.78	highly_constrained
TPR	3	1	GO	21	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	7175	NM_003292.3	0.203	0.159	1.000	4.00	highly_constrained
XRCC3	3	1	GO	5	yes	yes	3	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0007098 (centrosome cycle); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0007098 (centrosome cycle); GO:0051983 (regulation of chromosome segregation)			no	7517	NM_005432.4	1.797	1.377	0.000	-0.82	unconstrained
ARHGEF10	4	1	GO	5	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	9639	NM_014629.4	1.062	0.923	0.000	-3.42	unconstrained
ARID1A	4	1	GO	6	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	8289	NM_006015.6	0.141	0.096	1.000	2.46	highly_constrained
ARID1B	4	1	GO	3	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	57492	NM_001374828.1	0.205	0.151	1.000	0.81	highly_constrained
ARL2	4	1	GO	1	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	402	NM_001667.4	0.935	0.551	0.019	0.52	moderate
ATF5	4	1	GO	1	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	22809	NM_001193646.2	1.596	0.977	0.000	-1.04	unconstrained
AXIN2	4	1	GO	2	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)			no	8313	NM_004655.4	0.397	0.276	1.000	-0.01	constrained
BBS4	4	1	GO	1	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	585	NM_033028.5	0.953	0.743	0.000	-0.38	moderate
BCL7A	4	1	GO	3	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	605	NM_001024808.3	0.685	0.414	0.283	1.05	moderate
BCL7B	4	1	GO	3	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	9275	NM_001707.4	0.867	0.524	0.023	0.62	moderate
BCL7C	4	1	GO	3	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	9274	NM_004765.4	0.546	0.303	0.936	0.77	constrained
BECN1	4	1	GO	5	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	8678	NM_001313998.2	0.330	0.199	1.000	2.34	highly_constrained
C2CD3	4	1	GO	11	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	26005	NM_001286577.2	0.637	0.540	0.000	2.62	moderate
C9orf78	4	1	GO	2	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	51759	NM_016520.3	0.764	0.438	0.183	1.51	moderate
CCDC102B	4	1	GO	1	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	79839	NM_024781.3	1.584	1.280	0.000	-0.27	unconstrained
CCDC15	4	1	GO	1	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	80071	NM_025004.3	1.265	1.035	0.000	-0.11	unconstrained
CCDC57	4	1	GO	2	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	ENSG00000176155	ENST00000665763	1.260	1.076	0.000	-0.37	unconstrained
CCNF	4	1	GO	5	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	899	NM_001761.3	0.531	0.390	0.704	1.30	constrained
CCNL1	4	1	GO	1	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	57018	NM_020307.4	0.380	0.239	1.000	2.76	constrained
CCNL2	4	1	GO	1	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	81669	NM_030937.6	0.665	0.485	0.002	0.21	moderate
CDC6	4	1	GO	5	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	990	NM_001254.4	0.990	0.753	0.000	1.00	moderate
CDK2	4	1	GO	2	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	1017	NM_001798.5	0.390	0.186	0.999	2.93	constrained
CDT1	4	1	GO	3	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	81620	NM_030928.4	1.737	1.414	0.000	-2.67	unconstrained
CENPV	4	1	GO	2	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore)			no	201161	NM_181716.3	0.953	0.562	0.016	-0.69	moderate
CENPW	4	1	GO	7	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)			no	387103	NM_001012507.4	0.550	0.000	0.878	0.01	constrained
CENPX	4	1	GO	2	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)			no	201254	NM_001271006.2	1.663	1.065	0.000	-1.56	unconstrained
CEP44	4	1	GO	5	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	80817	NM_001040157.3	1.340	0.959	0.000	0.39	unconstrained
CEP68	4	1	GO	2	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	23177	NM_015147.3	0.627	0.443	0.048	0.46	moderate
CETN3	4	1	GO	1	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	1070	NM_004365.4	1.750	1.035	0.001	0.67	unconstrained
CHAMP1	4	1	GO	17	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	283489	NM_032436.4	0.160	0.070	1.000	0.32	highly_constrained
CHD3	4	1	GO	1	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	1107	NM_001005273.3	0.257	0.204	1.000	8.43	highly_constrained
CHFR	4	1	GO	3	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	55743	NM_001161346.2	0.929	0.722	0.000	0.43	moderate
CHMP4A	4	1	GO	42	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	29082	NM_014169.5	1.343	0.980	0.000	0.78	unconstrained
CHMP6	4	1	GO	27	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	79643	NM_024591.5	0.599	0.353	0.761	-0.52	constrained
CHMP7	4	1	GO	32	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	91782	NM_152272.5	0.496	0.312	0.984	0.23	constrained
CNTLN	4	1	GO	2	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	54875	NM_017738.4	1.431	1.236	0.000	-3.77	unconstrained
CNTROB	4	1	GO	18	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	116840	NM_053051.5	0.879	0.725	0.000	1.76	moderate
CROCC	4	1	GO	3	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	9696	NM_014675.5	1.165	1.029	0.000	-2.80	unconstrained
CSAG1	4	1	GO	1	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
CTCF	4	1	GO	1	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)			no	10664	NM_006565.4	0.205	0.109	1.000	4.85	highly_constrained
CUL1	4	1	GO	2	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	8454	NM_003592.3	0.294	0.196	1.000	6.49	highly_constrained
CUL3	4	1	GO	7	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	8452	NM_003590.5	0.365	0.233	1.000	5.16	constrained
DDX11	4	1	GO	5	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)			no	1663	NM_030653.4	0.781	0.642	0.000	2.29	moderate
DPF1	4	1	GO	3	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	8193	NM_001135155.3	0.415	0.269	1.000	2.65	constrained
DPF2	4	1	GO	3	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	5977	NM_006268.5	0.287	0.169	1.000	3.36	highly_constrained
DPF3	4	1	GO	3	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	8110	NM_001280542.3	0.491	0.331	0.987	1.48	constrained
DSCC1	4	1	GO	12	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)			no	79075	NM_024094.3	0.847	0.598	0.000	0.55	moderate
ESCO2	4	1	GO	2	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)			no	157570	NM_001017420.3	1.013	0.788	0.000	0.47	unconstrained
FBXL13	4	1	GO	1	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	ENSG00000161040	ENST00000313221	0.881	0.659	0.000	1.14	moderate
FBXO28	4	1	GO	1	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore)			no	23219	NM_015176.4	0.437	0.232	0.997	1.64	constrained
FBXO5	4	1	GO	12	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	26271	NM_012177.5	0.362	0.172	1.000	0.63	constrained
FBXW5	4	1	GO	2	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	54461	NM_018998.4	1.855	1.547	0.000	-3.68	unconstrained
FBXW7	4	1	GO	1	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)			no	55294	NM_001349798.2	0.181	0.097	1.000	4.54	highly_constrained
FEN1	4	1	GO	1	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)			no	2237	NM_004111.6	1.071	0.730	0.000	2.73	unconstrained
GOLGA2	4	1	GO	8	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	2801	NM_001366244.2	0.407	0.302	1.000	1.05	constrained
GPATCH11	4	1	GO	2	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore)			no	253635	NM_174931.4	1.008	0.655	0.000	-0.08	unconstrained
HECW2	4	1	GO	3	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	57520	NM_001348768.2	0.498	0.390	0.859	3.66	constrained
HEPACAM2	4	1	GO	2	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	253012	NM_001039372.4	1.184	0.889	0.000	1.00	unconstrained
HSF1	4	1	GO	1	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore)			no	3297	NM_005526.4	0.884	0.648	0.000	-0.38	moderate
KAT2A	4	1	GO	14	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)			no	2648	NM_021078.3	0.587	0.450	0.005	3.81	constrained
KIF25	4	1	GO	3	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	3834	NM_030615.4	0.984	0.670	0.000	0.31	moderate
KIF3B	4	1	GO	3	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)			no	9371	NM_004798.4	0.679	0.506	0.000	3.75	moderate
KNSTRN	4	1	GO	27	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	90417	NM_033286.4	1.109	0.822	0.000	-0.24	unconstrained
LRWD1	4	1	GO	1	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore)			no	222229	NM_152892.3	1.352	1.117	0.000	-1.43	unconstrained
MACROH2A1	4	1	GO	1	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)			no	9555	NM_138610.3	0.154	0.000	1.000	3.86	highly_constrained
MAGEA5P	4	1	GO	2	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
